step,vehicles,waiting_vehicles,avg_vehicle_wait
0,6.0,0,0.013007879008422391
1,6.003490656731796,2,0.12278323809560353
2,4.0069813028304475,1,0.3262763064614511
3,5.010471927662839,1,0.6776137074010998
4,4.013962520595923,2,0.12335483235510714
5,6.017453070996748,2,0.05995940319670013
6,4.020943568232491,3,0.5191829350969255
7,4.024434001670494,0,2.064407024606287
8,9.027924360678291,0,0.45923442874123266
9,3.0314146346236415,0,0.5872998318654084
10,5.034904812874567,1,0.41181867975053194
11,5.038394884799379,0,0.7624299314833333
12,6.0418848397667135,1,1.860792657892741
13,5.045374667145563,2,0.39277295372434773
14,10.048864356305307,0,0.26960441455871803
15,2.052353896615746,0,0.9842831502324864
16,5.055843277447138,1,1.7487717209425313
17,4.059332488170221,1,0.06916093339097029
18,11.062821518156257,2,0.43157758924436584
19,5.066310356777053,2,0.7862155754445125
20,4.069798993405002,2,0.381076531590475
21,9.073287417413113,1,0.2631362983201473
22,4.07677561817504,0,0.5324386160723484
23,6.080263585065119,0,0.15744311608639758
24,8.0837513074584,1,0.21472555009068547
25,3.087238774730672,0,2.4317541105901563
26,4.090725976258508,0,0.505940310161579
27,6.094212901419286,3,1.0314979510347322
28,8.097699539591227,1,0.8245274859576788
29,10.101185880153427,0,0.5281681541762413
30,4.1046719124858875,1,0.9185743214090953
31,2.1081576259695507,0,0.16924808850723969
32,6.111643009986327,1,0.5068366459046882
33,7.115128053919134,1,0.4465355646493993
34,9.118612747151923,3,0.48698587746939204
35,3.1220970790697136,2,0.09234132728448147
36,6.125581039058627,1,0.16234113412176177
37,9.129064616505916,1,0.1688973785377716
38,7.1325478008,4,0.4605840064640847
39,12.136030581330497,0,1.7976377361514437
40,8.139512947488251,1,1.54029173288075
41,4.142994888665372,0,0.1288607388935638
42,1.1464763942552634,1,0.1818103931793352
43,6.149957453652656,1,0.018364095020912945
44,2.1534380562536373,2,0.25442677633802757
45,9.15691819145569,0,0.8999183663752955
46,5.160397848657718,2,1.2369936753738675
47,7.163877017260082,1,0.1349187717105526
48,6.167355686664631,2,0.1544831403459988
49,2.1708338462747347,1,0.12477573079435854
50,6.174311485495316,0,0.21547113175885102
51,5.177788593732883,2,0.8167613138040469
52,5.181265160395561,0,0.5204417677542631
53,5.184741174893123,2,0.7707516086578007
54,8.188216626637029,0,0.43737182774701633
55,1.191691505040448,1,0.14902318371462972
56,3.195165799518299,1,0.12938159520049425
57,4.198639499487278,0,0.004520728463310241
58,11.202112594365893,2,0.7593009928534842
59,9.205585073574493,4,0.9390549997606529
60,4.209056926535307,1,0.731118375825758
61,8.212528142672467,0,0.03865766311722645
62,7.215998711412046,0,0.7182081228744761
63,5.219468622182091,0,0.02342393871894367
64,5.222937864412651,1,0.05579721179985949
65,5.226406427535814,0,0.29033386799635325
66,9.229874300985733,1,0.3232720927031395
67,3.2333414741986664,1,0.8467322467775223
68,3.236807936613002,0,0.5689784563328317
69,9.240273677669293,0,0.08321633535430932
70,5.243738686810295,0,0.1281865328956392
71,9.247202953480986,1,0.16820875084067927
72,7.2506664671286085,0,0.06600777815961166
73,7.254129217202701,1,0.16958936839685604
74,11.257591193155125,1,0.6520773677545761
75,4.261052384440103,2,0.13814129382537993
76,8.264512780514245,3,0.9019959315967798
77,12.267972370836585,1,0.3169836787462758
78,6.271431144868608,0,0.1949945615961715
79,8.274889092074293,2,0.2658698230830288
80,5.278346201920131,2,0.6180702413825667
81,8.281802463875165,1,0.3636547657886751
82,9.285257867411023,2,0.003652641347074272
83,4.288712402001947,2,1.2776034872852988
84,3.292166057124823,0,0.03413728066058948
85,6.295618822259221,2,1.395346602425462
86,2.299070686887419,1,0.014278356414775553
87,2.3025216404944384,0,0.7369715195694133
88,5.305971672568076,1,0.3825092828367143
89,5.309420772598936,0,0.35233281254061866
90,5.3128689300804615,0,0.03778140093796844
91,5.316316134508967,0,0.13639345270759887
92,6.31976237538367,0,0.7515204304792734
93,4.3232076422067225,1,1.109397001595337
94,4.326651924483245,2,0.3765745967375574
95,8.330095211721355,1,0.21796993854970464
96,5.333537493432204,1,0.03090749429507543
97,4.336978759130005,2,0.5731327282859076
98,3.340418998332065,1,0.16317445292154678
99,6.343858200558819,0,0.028292432406457523
100,9.34729635533386,2,0.5480852298282493
101,6.350733452183974,2,0.33249350664978616
102,4.354169480639166,1,0.006017135974790606
103,4.3576044302326995,1,0.05878630089689117
104,6.36103829050112,0,0.600658050321795
105,10.364471050984294,1,0.03289436212637455
106,6.36790270122544,0,1.0048199407558192
107,6.371333230771154,2,0.186493836131565
108,8.37476262917145,0,0.04642316752211837
109,8.378190885979782,2,0.7130529709901359
110,7.38161799075309,2,0.3716176895815163
111,5.385043933051815,0,0.18310299042758127
112,5.388468702439944,1,0.26052076584578104
113,8.391892288485035,0,0.010822483439467455
114,7.395314680758252,0,0.5433891005690353
115,6.398735868834394,1,0.22767471538408227
116,11.40215584229193,1,0.6259474197384429
117,8.405574590713025,1,0.49466080016923397
118,2.4089921036835804,0,0.5267059742635806
119,8.412408370793258,2,0.7872591578318238
120,4.415823381635518,1,0.49869356170664586
121,4.419237125807643,1,0.2712664554405337
122,5.422649592910777,2,0.24708878880522825
123,7.4260607725499534,0,0.0636793027763897
124,3.4294706543341262,0,0.7558004936710456
125,5.432879227876206,0,0.7158727806043284
126,6.4362864827930855,3,0.14137935080198885
127,3.439692408705675,0,0.992727619627817
128,4.4430969952389345,2,0.4445849955075981
129,2.4465002320219025,1,0.3257021737695989
130,4.44990210868773,0,0.008825585498473176
131,7.45330261487371,2,0.2412334355868058
132,2.4567017402213116,0,0.5117581153157055
133,2.460099474376209,0,0.047016808207708954
134,8.463495806988314,0,0.3076925902196243
135,7.466890727711811,0,2.513073847954563
136,6.47028422620518,1,0.630339725776955
137,7.473676292131238,1,0.39578908877792746
138,3.477066915157162,2,0.3807482206105464
139,6.480456084954527,0,0.022375833130963228
140,8.483843791199336,0,1.5769472642592726
141,3.487230023572045,0,1.3167798566150268
142,5.490614771757605,0,0.5734886909103425
143,8.493998025445485,0,0.052131475590819765
144,3.4973797743297097,0,0.11649209141536791
145,5.500760008108883,2,0.1016150336326499
146,9.504138716486228,1,0.3665457021972519
147,5.507515889169611,3,0.11647314230959432
148,9.510891515871581,0,0.5950358725645284
